organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference
Echinops telfairi,GCA_000313985.2,representative genome,na,PRJNA12590,SAMN00216137,AAIY00000000.3,9371,9371,na,266,latest,Scaffold,Major,Full,2019-07-15,ASM31398v2,Broad Institute,GCF_000313985.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/985/GCA_000313985.2_ASM31398v2,na,na,haploid,vertebrate_mammalian,,,43.0,0.0,7489.0,7489.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Tenrecidae,Lesser Madagascar “hedgehog”,1.2,13.0,x,[100] [143]
Eidolon helvum,GCA_000465285.1,representative genome,na,PRJNA209406,SAMN02212690,AWHC00000000.1,77214,77214,na,na,latest,Scaffold,Major,Full,2013-09-13,ASM46528v1,"School of Biological & Chemical Sciences, Queen Mary University of London",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/285/GCA_000465285.1_ASM46528v1,na,na,haploid,vertebrate_mammalian,1837754460.0,1830434665.0,39.0,0.0,133538.0,288446.0,"School of Biological & Chemical Sciences, Queen Mary University of London","Annotation submitted by School of Biological & Chemical Sciences, Queen Mary University of London",,0.0,0.0,0.0,24005325,Pteropodidae,Straw-colored fruit bat,,21.8,x,[143]
Eira barbara,GCA_020311275.1,representative genome,na,PRJNA732553,SAMN19323876,JAHRIG000000000.1,204263,204263,na,male tayra,latest,Scaffold,Major,Full,2021-10-05,ASM2031127v1,Leibniz Institute for Zoo and Wildlife Research (IZW),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/311/275/GCA_020311275.1_ASM2031127v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,14563.0,14563.0,Leibniz Institute for Zoo and Wildlife Research (IZW),Annotation submitted by Leibniz Institute for Zoo and Wildlife Research (IZW),,0.0,0.0,0.0,na, ,Tayra,,18.0,x,[100] [101]
Elaphurus davidianus,GCA_021018665.1,representative genome,na,PRJNA438286,SAMN07270940,JAJIZU000000000.1,43332,43332,na,milu-zoo-001,latest,Scaffold,Major,Full,2021-12-01,miluL,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/018/665/GCA_021018665.1_miluL,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,46350.0,46350.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,29267854, ,Pere David’s deer,18.0,,x,[100]
Eptesicus fuscus,GCA_027574615.1,representative genome,na,PRJNA868286,SAMN30608903,JANZWY000000000.1,29078,29078,na,TK198812,latest,Chromosome,Major,Full,2023-01-09,DD_ASM_mEF_20220401,Bat1K,GCF_027574615.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/574/615/GCA_027574615.1_DD_ASM_mEF_20220401,na,na,haploid,vertebrate_mammalian,2008057866.0,2008029309.0,43.5,25.0,48.0,48.0,Bat1K,Annotation submitted by Bat1K,,0.0,0.0,0.0,na, ,Big brown bat,19.0,,x,[119] [278]
Equus asinus,GCA_016077325.2,representative genome,na,PRJNA431818,SAMN08939908,JADWZW000000000.2,9793,9793,breed=Dezhou,na,latest,Chromosome,Major,Full,2021-10-14,ASM1607732v2,"Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences",GCF_016077325.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/077/325/GCA_016077325.2_ASM1607732v2,na,na,haploid,vertebrate_mammalian,,,41.5,32.0,50.0,50.0,"Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences","Annotation submitted by Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences",,0.0,0.0,0.0,33293529,Equidae,African wild ass,20.0,,x,[100]
Equus caballus,GCA_002863925.1,representative genome,na,PRJNA421018,SAMN02953672,PJAA00000000.1,9796,9796,breed=thoroughbred,Twilight,latest,Chromosome,Major,Full,2018-01-05,EquCab3.0,University of Louisville,GCF_002863925.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/925/GCA_002863925.1_EquCab3.0,na,na,haploid,vertebrate_mammalian,,,41.5,32.0,4700.0,4700.0,University of Louisville,Annotation submitted by University of Louisville,,0.0,0.0,0.0,na, ,Horse,,50.0,x,[15] [326] [331]
Equus quagga,GCA_021613505.1,representative genome,na,PRJNA785630,SAMN16526506,JAKJSB000000000.1,89248,89248,na,Etosha38,latest,Chromosome,Major,Full,2022-01-31,UCLA_HA_Equagga_1.0,University of California Los Angeles,GCF_021613505.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/613/505/GCA_021613505.1_UCLA_HA_Equagga_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,22.0,12506.0,12506.0,University of California Los Angeles,Annotation submitted by University of California Los Angeles,,0.0,0.0,0.0,na, ,Plains zebra (Quagga),20.0,,x,[100]
Erethizon dorsatum,GCA_028451465.1,representative genome,na,PRJNA915121,SAMN32359106,JAQMCO000000000.1,34844,34844,na,mEreDor1,latest,Chromosome,Major,Full,2023-02-06,mEreDor1.pri,Vertebrate Genomes Project,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/465/GCA_028451465.1_mEreDor1.pri,na,na,haploid,vertebrate_mammalian,,,41.0,22.0,115.0,115.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,N. American porcupine,18.0,,x,[56]
Erinaceus europaeus,GCA_950295315.1,representative genome,na,PRJEB61758,SAMEA13207416,CATNUA000000000.1,9365,9365,na,na,latest,Chromosome,Major,Full,2023-05-01,mEriEur2.1,WELLCOME SANGER INSTITUTE,GCF_950295315.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/950/295/315/GCA_950295315.1_mEriEur2.1,na,na,haploid,vertebrate_mammalian,,,42.0,24.0,1174.0,1174.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Hedgehog,14.0,,x,[21]
Erythrocebus patas,GCA_023783455.1,representative genome,na,PRJNA785018,SAMN23575338,JAKFHT000000000.1,9538,9538,na,KIZ-2021_7,latest,Contig,Major,Full,2022-06-17,ASM2378345v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/455/GCA_023783455.1_ASM2378345v1,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,4898.0,4898.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,na, ,Patas monkey (+),21.0,,x,[100]
Eschrichtius robustus,GCA_028021215.1,representative genome,na,PRJNA921702,SAMN32629250,JAQMHY000000000.1,9764,9764,na,mEscRob2,latest,Chromosome,Major,Full,2023-01-31,mEscRob2.pri,Vertebrate Genomes Project,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/021/215/GCA_028021215.1_mEscRob2.pri,na,na,haploid,vertebrate_mammalian,,,41.5,23.0,703.0,703.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Eschrichtidae,Gray whale,70.0,,x,[105]
Eumetopias jubatus,GCA_004028035.1,representative genome,na,PRJNA475770,SAMN09402722,SBAQ00000000.1,34886,34886,na,GAN:26980396,latest,Scaffold,Major,Full,2019-01-15,ASM402803v1,Canada's Genomic Enterprise,GCF_004028035.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/028/035/GCA_004028035.1_ASM402803v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,7471.0,24746.0,Canada's Genomic Enterprise,Annotation submitted by Canada's Genomic Enterprise,,0.0,0.0,0.0,31248052, ,Northern sea lion,23.0,,x,[100]
Felis catus,GCA_018350175.1,representative genome,na,PRJNA684600,SAMN19729387,JAFEKA000000000.1,9685,9685,na,Fca126,latest,Chromosome,Major,Full,2021-05-13,F.catus_Fca126_mat1.0,Texas A&M University,GCF_018350175.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/350/175/GCA_018350175.1_F.catus_Fca126_mat1.0,na,na,haploid,vertebrate_mammalian,,,42.0,19.0,70.0,101.0,Texas A&M University,Annotation submitted by Texas A&M University,,0.0,0.0,0.0,na, ,Domestic cat,34.0,,x,[21]
Felis nigripes,GCA_032458615.1,representative genome,na,PRJNA955150,SAMN34164677,JAVSGG000000000.1,61379,61379,na,JY-2023a,latest,Chromosome,Major,Full,2023-10-11,SNNU_BFC_1,Shaanxi Normal University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/458/615/GCA_032458615.1_SNNU_BFC_1,na,na,haploid,vertebrate_mammalian,,,41.5,19.0,357.0,357.0,Shaanxi Normal University,Annotation submitted by Shaanxi Normal University,,0.0,0.0,0.0,na, ,Black-footed cat,12.0,,x,[100]
Galago senegalensis,GCA_963575145.1,representative genome,na,PRJEB67744,SAMEA112482914,CAUYTI000000000.1,9465,9465,na,na,latest,Scaffold,Major,Full,2023-10-31,PGDP_GalSen,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/145/GCA_963575145.1_PGDP_GalSen,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,165071.0,165071.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Galago (+),,17.0,f,[104]
Galemys pyrenaicus,GCA_019455555.1,representative genome,na,PRJNA705855,SAMN18106611,JAGFMF000000000.1,202257,202257,na,IBE-C5619,latest,Scaffold,Major,Full,2021-08-05,Gpyr_1.0,Institute of Evolutionary Biology (CSIC-UPF),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/455/555/GCA_019455555.1_Gpyr_1.0,na,na,haploid,vertebrate_mammalian,1828347170.0,1801141189.0,41.5,0.0,12306.0,12306.0,Institute of Evolutionary Biology (CSIC-UPF),Annotation submitted by Institute of Evolutionary Biology (CSIC-UPF),,20936.0,20909.0,0.0,34295371,Talpidae,Pyrenean desman,4.0,,x,[100]
Glaucomys volans,GCA_020662805.1,representative genome,na,PRJNA723289,SAMN18810840,JAJEJO000000000.1,64683,64683,ecotype=Volans,SFS_CC1,latest,Scaffold,Major,Full,2021-10-28,ASM2066280v1,Wildlife Research and Monitoring Section,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/662/805/GCA_020662805.1_ASM2066280v1,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,61855.0,61855.0,Wildlife Research and Monitoring Section,Annotation submitted by Wildlife Research and Monitoring Section,,0.0,0.0,0.0,na, ,Southern flying squirrel (+),,12.0,x,[100] [143]
Glis glis,GCA_004027185.1,representative genome,na,PRJNA399435,SAMN07678015,PVJS00000000.1,41261,41261,na,US078,latest,Scaffold,Major,Full,2019-01-16,GliGli_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/185/GCA_004027185.1_GliGli_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,433430.0,433430.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Edible dormouse,9.0,,x,[100]
Gorilla gorilla gorilla,GCF_029281585.1,representative genome,na,PRJNA953048,SAMN04003007,JARGGP000000000.1,9595,9593,na,KB3781,latest,Chromosome,Major,Full,2023-03-20,NHGRI_mGorGor1-v1.1-0.2.freeze_pri,"National Human Genome Research Institute, National Institutes of Health",GCA_029281585.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/281/585/GCF_029281585.1_NHGRI_mGorGor1-v1.1-0.2.freeze_pri,na,na,haploid,vertebrate_mammalian,,,40.5,25.0,637.0,637.0,NCBI RefSeq,GCF_029281585.1-RS_2023_04,,43486.0,23010.0,13304.0,na, ,Lowland gorilla,,36.0,x,[141]
Grammomys dolichurus,GCA_019843835.1,representative genome,na,PRJNA669840,SAMN16477139,JADRCF000000000.1,491754,491754,na,MVZ Mamm 221001,latest,Scaffold,Major,Full,2021-09-01,ASM1984383v1,University of Pennsylvania,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/843/835/GCA_019843835.1_ASM1984383v1,na,na,haploid,vertebrate_mammalian,2089776775.0,2080556935.0,41.0,0.0,509072.0,509072.0,University of Pennsylvania,Annotation submitted by University of Pennsylvania,,0.0,0.0,0.0,na, , ,,4.4,x,[143]
Grampus griseus,GCA_028646425.1,representative genome,na,PRJNA512907,SAMN16895759,JAQQSP000000000.1,83653,83653,na,Sample2556,latest,Chromosome,Major,Full,2023-02-16,Grampus_griseus_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/646/425/GCA_028646425.1_Grampus_griseus_HiC,na,na,haploid,vertebrate_mammalian,,,41.5,22.0,773381.0,773381.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Risso’s dolphin,20.0,,x,[229]
Graphiurus murinus,GCA_004027655.1,representative genome,na,PRJNA399395,SAMN07678085,PVLC000000000.1,51346,51346,na,US067,latest,Scaffold,Major,Full,2019-01-16,GraMur_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/655/GCA_004027655.1_GraMur_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,1267939.0,1267939.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,African dormouse,,5.8,x,[143]
Gymnobelideus leadbeateri,GCA_011680675.1,representative genome,na,PRJNA593327,SAMN13475009,WOXC00000000.1,38618,38618,na,B50252,latest,Scaffold,Major,Full,2020-03-23,LBP_v1,Deakin University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/680/675/GCA_011680675.1_LBP_v1,na,na,haploid,vertebrate_mammalian,,,39.0,0.0,12502.0,12502.0,Deakin University,Annotation submitted by Deakin University,,0.0,0.0,0.0,34863023, ,Leadbeater’s possum,,9.0,f,[295]
Halichoerus grypus,GCA_012393455.1,representative genome,na,PRJNA577240,SAMN13022322,JAAXOB000000000.1,9711,9711,ecotype=Northwest Atlantic,241Hg,latest,Scaffold,Major,Full,2020-04-16,Tufts_HGry_1.1,Cummings School of Veterinary Medicine at Tufts University,GCF_012393455.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/393/455/GCA_012393455.1_Tufts_HGry_1.1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,6880.0,6880.0,Cummings School of Veterinary Medicine at Tufts University,Annotation submitted by Cummings School of Veterinary Medicine at Tufts University,,0.0,0.0,0.0,na, ,Gray seal (+),46.0,,x,[21] [198]
Helogale parvula,GCA_004023845.1,representative genome,na,PRJNA399396,SAMN07678086,PJEM00000000.1,210647,210647,na,US077,latest,Scaffold,Major,Full,2019-01-15,HelPar_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/845/GCA_004023845.1_HelPar_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,189370.0,189370.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Dwarf mongoose,,10.0,x,[100]
Hemitragus hylocrius,GCA_004026825.1,representative genome,na,PRJNA399397,SAMN07678087,PVJR00000000.1,330464,330464,na,BS50,latest,Scaffold,Major,Full,2019-01-16,HemHyl_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/825/GCA_004026825.1_HemHyl_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,469163.0,469163.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Nilgiri tahr,9.0,,x,[100]
Heterocephalus glaber,GCA_000247695.1,representative genome,na,PRJNA72441,SAMN00714537,AHKG00000000.1,10181,10181,na,NMR 29,latest,Scaffold,Major,Full,2012-02-17,HetGla_female_1.0,Broad Institute,GCF_000247695.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/695/GCA_000247695.1_HetGla_female_1.0,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,4228.0,114652.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,25172923, ,Naked mole-rat,,5.0,x,[100] [135] [137] [138] [139]
Heterohyrax brucei,GCA_028571685.1,representative genome,na,PRJNA931597,SAMN33092455,JAQRHT000000000.1,77598,77598,na,mHetBru1,latest,Chromosome,Major,Full,2023-02-10,mHetBru1.pri,Vertebrate Genomes Project,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/571/685/GCA_028571685.1_mHetBru1.pri,na,na,haploid,vertebrate_mammalian,,,41.0,28.0,62.0,62.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,Bush hyrax,14.0,,x,[100]
Homo sapiens,GCA_000001405.29,reference genome,na,PRJNA31257,na,na,9606,9606,na,na,latest,Chromosome,Patch,Full,2022-02-03,GRCh38.p14,Genome Reference Consortium,GCF_000001405.40,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.29_GRCh38.p14,na,na,haploid-with-alt-loci,vertebrate_mammalian,,,41.0,24.0,473.0,35614.0,Genome Reference Consortium,Annotation submitted by Genome Reference Consortium,,37.0,13.0,24.0,10508508;10830953;7219534;11780052;15057823;11237011;12853948;12508121;15372022;15164053;14574404;12815422;15616553;15815621;15057824;15164054;15496913;16572171;15772651;16177791;16421571;16625196;16554811;16541075;16710414;16641997;18477386,Hominidae,Human (+),,116.0,x,[21]
Hyaena hyaena,GCA_003009895.1,representative genome,na,PRJNA390068,SAMN07212965,PEQU00000000.1,95912,95912,na,Hyena2069,latest,Scaffold,Major,Full,2018-03-19,ASM300989v1,Potsdam University,GCF_003009895.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/895/GCA_003009895.1_ASM300989v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,5760.0,5760.0,Potsdam University,Annotation submitted by Potsdam University,,0.0,0.0,0.0,29528428, ,Striped hyena,,24.0,x,[259] [260]
Hydropotes inermis,GCA_020226075.1,representative genome,na,PRJNA640966,SAMN15339014,JAGTXW000000000.1,9883,9883,na,NWPU-IOZ-05,latest,Chromosome,Major,Full,2021-10-05,ASM2022607v1,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/226/075/GCA_020226075.1_ASM2022607v1,na,na,haploid,vertebrate_mammalian,,,41.5,35.0,1712.0,1712.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,na, ,Chinese water deer,12.0,,x,[100]
Hylobates agilis,GCA_963574095.1,representative genome,na,PRJEB67744,SAMEA112482843,CAUYOT000000000.1,9579,9579,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_HylAgi,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/095/GCA_963574095.1_PGDP_HylAgi,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,182471.0,182471.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Hylobatidae,Agile gibbon,25.0,,x,[100]
Hylobates pileatus,GCA_021498465.1,representative genome,na,PRJNA785018,SAMN23575341,JAKFGR000000000.1,9589,9589,na,KIZ-2021_10,latest,Chromosome,Major,Full,2022-01-19,ASM2149846v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/498/465/GCA_021498465.1_ASM2149846v1,na,na,haploid,vertebrate_mammalian,,,41.0,22.0,743.0,743.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,na, ,Capped gibbon,25.0,,x,[100]
Hyperoodon ampullatus,GCA_949752795.1,representative genome,na,PRJEB60895,SAMEA10839125,CATKHW000000000.1,48744,48744,na,na,latest,Chromosome,Major,Full,2023-04-08,mHypAmp2.1,WELLCOME SANGER INSTITUTE,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/752/795/GCA_949752795.1_mHypAmp2.1,na,na,haploid,vertebrate_mammalian,,,42.0,21.0,756.0,756.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Northern bottle-nosed whale,37.0,,x,[14] [192]
Hystrix brachyura,GCA_016801275.1,representative genome,na,PRJNA490787,SAMN10059123,QZML00000000.1,143286,143286,na,POm2014,latest,Scaffold,Major,Full,2021-02-02,DSBC_Hbra_1.0,DNA Stories Bioinformatics Center,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/275/GCA_016801275.1_DSBC_Hbra_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,151118.0,151118.0,DNA Stories Bioinformatics Center,Annotation submitted by DNA Stories Bioinformatics Center,,0.0,0.0,0.0,33481165, ,Old World porcupine,,27.3,x,[143]
Inia geoffrensis,GCA_004363515.1,representative genome,na,PRJNA399465,SAMN07678125,RJWO000000000.1,9725,9725,na,BS63,latest,Scaffold,Major,Full,2019-03-22,IniGeo_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/515/GCA_004363515.1_IniGeo_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,1213610.0,1213610.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Iniidae,Amazon dolphin,30.0,18.0,x,[30]
Kobus ellipsiprymnus,GCA_006410655.1,representative genome,na,PRJNA438286,SAMN08714511,SJYR00000000.1,9962,9962,na,DFW-375,latest,Scaffold,Major,Full,2019-06-24,DFW,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/410/655/GCA_006410655.1_DFW,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,88848.0,88848.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Waterbuck,,18.0,x,[100]
Kogia breviceps,GCA_026419965.1,representative genome,na,PRJNA901930,SAMN31719513,JAPMIF000000000.1,27615,27615,na,mKogBre1,latest,Chromosome,Major,Full,2022-11-27,mKogBre1 haplotype 1,Vertebrate Genomes Project,GCF_026419965.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/419/965/GCA_026419965.1_mKogBre1_haplotype_1,na,na,haploid,vertebrate_mammalian,,,42.0,21.0,580.0,580.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Physeteridae,Pygmy sperm whale,17.0,,x,[192]
Lagenorhynchus obliquidens,GCA_003676395.1,representative genome,na,PRJNA475306,SAMN09386610,RCWK00000000.1,90247,90247,na,GAN/ISIS:26980383/991018,latest,Scaffold,Major,Full,2018-10-23,ASM367639v1,Canada's Genomic Enterprise,GCF_003676395.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/395/GCA_003676395.1_ASM367639v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,5421.0,21792.0,Canada's Genomic Enterprise,Annotation submitted by Canada's Genomic Enterprise,,0.0,0.0,0.0,na, ,Pacific white-sided dolphin,,20.0,x,[10] [212] [281] [284] [333]
Lagothrix lagotricha,GCA_963574225.1,representative genome,na,PRJEB67744,SAMEA14464481,CAUYNB000000000.1,9519,9519,na,FES94,latest,Scaffold,Major,Full,2023-10-31,PGDP_LagLag,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/225/GCA_963574225.1_PGDP_LagLag,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,82264.0,82264.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Woolly monkey,,25.0,x,[100]
Lemur catta,GCA_020740605.1,representative genome,na,PRJNA561949,SAMN12621102,JAJGPY000000000.1,9447,9447,na,mLemCat1,latest,Chromosome,Major,Full,2021-11-04,mLemCat1.pri,Vertebrate Genomes Project,GCF_020740605.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/740/605/GCA_020740605.1_mLemCat1.pri,na,na,haploid,vertebrate_mammalian,,,41.5,29.0,184.0,184.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,Ring-tailed lemur (+),,20.0,x,[100]
Leontopithecus rosalia,GCA_028533165.1,representative genome,na,PRJNA512907,SAMN21582245,JAPYYA000000000.1,30588,30588,na,Coari,latest,Chromosome,Major,Full,2023-02-09,Leontopithecus_rosalia_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/533/165/GCA_028533165.1_Leontopithecus_rosalia_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,23.0,342831.0,342831.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Golden lion marmoset (+),,24.8,m,[104]
Lepus americanus,GCA_004026855.1,representative genome,na,PRJNA399359,SAMN07678042,PVJM000000000.1,48086,48086,na,BS55,latest,Scaffold,Major,Full,2019-01-16,LepAme_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/855/GCA_004026855.1_LepAme_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,44.0,0.0,1592829.0,1592829.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Leporidae,Snowshoe rabbit,5.0,,x,[92]
Lepus europaeus,GCA_033115175.1,representative genome,na,PRJNA1009711,SAMN33984520,JAVHNT000000000.1,9983,9983,na,LE1,latest,Chromosome,Major,Full,2023-10-31,mLepTim1.pri,University of Eastern Finland,GCF_033115175.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/115/175/GCA_033115175.1_mLepTim1.pri,na,na,haploid,vertebrate_mammalian,,,44.0,25.0,650.0,650.0,University of Eastern Finland,Annotation submitted by University of Eastern Finland,,0.0,0.0,0.0,na, ,European hare,12.0,,x,[100]
Lepus timidus,GCA_009760805.1,representative genome,na,PRJNA561582,SAMN12621015,VUAX00000000.1,62621,62621,ecotype=Ireland,LTM.BIO.3104,latest,Chromosome,Major,Full,2019-12-17,CIBIO-ISEM_LeTim_1.1,CIBIO,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/760/805/GCA_009760805.1_CIBIO-ISEM_LeTim_1.1,na,na,haploid,vertebrate_mammalian,,,43.5,22.0,4205.0,4205.0,CIBIO,Annotation submitted by CIBIO,,0.0,0.0,0.0,31834364, ,Mountain hare,9.0,,x,[100]
